"PackageId","GitHubRepo","CurrentVersion","LatestVersion"
"15722UsefulApp.WorkspaceLauncherForVSCode","tanchekwei/VisualStudioCodeForCommandPalette","1.17.0.0","1.22.0.0"
"1History.1History","1History/1History","0.3.3","0.3.4"
"3ll3d00d.beqdesigner","3ll3d00d/beqdesigner","1.1.8","1.1.10"
"5mdt.WinGoDarkTray","5mdt/WinGoDarkTray","2.3.0","2.3.1"
"7gxycn08.PyAutoActions","7gxycn08/PyAutoActions","1.4.0","1.4.1"
"AbdelrahmanBayoumi.Azkar","AbdelrahmanBayoumi/Azkar-App","1.2.9","1.3.0"
"abrignoni.ALEAPP","abrignoni/ALEAPP","3.3.0","3.4.0"
"abrignoni.ALEAPP-cli","abrignoni/ALEAPP","3.3.0","3.4.0"
"abrignoni.iLEAPP","abrignoni/iLEAPP","2.1.0","2.3.0"
"abrignoni.iLEAPP-cli","abrignoni/iLEAPP","2.1.0","2.3.0"
"acaudwell.Gource","acaudwell/Gource","0.53","gource-0.55"
"ActualBudget.ActualBudget","actualbudget/actual","26.1.0","26.2.0"
"Adamant.Messenger","Adamant-im/adamant-im","4.9.1","4.10.6"
"Adobe.Brackets","adobe/brackets","1.14.17770","release-1.14.2"
"AdoptOpenJDK.IcedTea-Web","AdoptOpenJDK/IcedTea-Web","1.8.8.0","icedtea-web-1.8.8"
"AdoptOpenJDK.OpenJDK.11","AdoptOpenJDK/openjdk11-binaries","11.0.11.9","jdk-11.0.9.1+1"
"AdoptOpenJDK.OpenJDK.14","AdoptOpenJDK/openjdk14-binaries","14.0.2.12","jdk-14.0.2+12_openj9-0.21.0"
"AdoptOpenJDK.OpenJDK.15","AdoptOpenJDK/openjdk15-binaries","15.0.2.7","jdk-15.0.2+7_openj9-0.24.0"
"AdoptOpenJDK.OpenJDK.16","AdoptOpenJDK/openjdk16-binaries","16.0.1.9","jdk-16.0.1+9_openj9-0.26.0"
